R_mean,G_mean,R_G_ratio,R_minus_G,H_mean,S_mean,V_mean,L_mean,A_mean,H_std,R_std,GLCM_contrast_0,GLCM_contrast_1,GLCM_contrast_2,GLCM_contrast_3,GLCM_homogeneity_0,GLCM_homogeneity_1,GLCM_homogeneity_2,GLCM_homogeneity_3,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Hist_H_0,Hist_H_1,Hist_H_2,Hist_H_3,Hist_H_4,Hist_H_5,Hist_H_6,Hist_H_7,Hist_R_0,Hist_R_1,Hist_R_2,Hist_R_3,Hist_R_4,Hist_R_5,Hist_R_6,Hist_R_7,Hist_S_0,Hist_S_1,Hist_S_2,Hist_S_3,Hist_S_4,Hist_S_5,Hist_S_6,Hist_S_7,label
178.50377655029297,107.26507568359375,1.6641369546078784,71.23870086669922,0.08996513922128073,0.7005515507158918,0.7102165371763942,52.73360350176006,22.882115352280945,0.06301638254232206,65.62340981905513,6.587370810910054,14.397038154725113,7.311823477250577,12.48448037499847,0.6650638513505621,0.5875738018038559,0.6516615242300285,0.5662461612216823,0.02122116088866378,0.02878570556639527,0.03113174438475375,0.127445220947217,0.20731353759757717,0.2298049926756936,0.09899520874019661,0.03734970092772013,0.03139114379881615,0.18656158447258508,0.73150635,0.26846695,2.670288e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.08136368,0.0928154,0.076797485,0.07748413,0.14743042,0.19026947,0.33383942,0.0,0.01556015,0.029556274,0.03314972,0.1621437,0.3566208,0.34084702,0.062122345,0
113.2583236694336,65.72475051879883,1.723221809183085,47.533573150634766,0.09579519077296005,0.7280603629698328,0.4531695795994179,33.35600871920192,16.623221536428055,0.08133974793508586,49.72281294310562,15.986224926614849,28.046851842632996,12.690561552104029,27.501893758066863,0.6030168282925455,0.5283703516439842,0.6119587461197983,0.5200576374350694,0.04467391967771733,0.046718597412091556,0.03702926635740775,0.10246658325191403,0.16249465942376615,0.16883850097649808,0.08538055419918618,0.045742034912091924,0.04259109497068688,0.2640647888182586,0.69208527,0.3046074,0.0011711121,0.00022125244,0.0001296997,0.00020217896,0.00016021729,0.0014228821,0.044296265,0.20299149,0.080394745,0.13998413,0.43927765,0.06647873,0.0092659,0.017311096,0.016010284,0.012939453,0.019580841,0.04112625,0.108875275,0.21806335,0.4813919,0.102012634,0
151.97475814819336,76.95989990234375,1.9747265542648198,75.01485824584961,0.10132386289750367,0.6637006939139127,0.6036489000507429,42.76723348830787,28.055404074657442,0.1483728545807527,60.789348589550904,11.409602036448378,35.07679964460932,18.634972021771677,22.83989031904795,0.5014091055860063,0.39506266294469666,0.47226352010594685,0.41524186716865735,0.06711959838864627,0.05780410766599357,0.03956222534178178,0.08967590332027829,0.13771438598627558,0.13456344604487055,0.07327651977536268,0.04540252685545143,0.05115509033201174,0.30372619628894665,0.7198181,0.18651962,0.012237549,0.031280518,0.041801453,0.00484848,0.0005912781,0.0029029846,0.010662079,0.057533264,0.14109802,0.18195343,0.17127609,0.10910797,0.15224457,0.17612457,0.08223724,0.04856491,0.033130646,0.06478882,0.09012604,0.14923859,0.32524872,0.20666504,0
188.21839141845703,97.44978713989258,1.9314397368063922,90.76860427856445,0.1271688049288337,0.5492110932428984,0.7421903572830498,52.34009486917012,33.896497276822444,0.2672442053438139,61.3684972699013,5.249032992906096,9.605684720876528,5.01517398483369,9.722565400714636,0.5076360812110576,0.4330373437507458,0.5237332231906976,0.42506433575695063,0.07505416870114325,0.06045913696286756,0.04127120971678113,0.08271789550778094,0.12006759643550108,0.1270713806151859,0.07789993286129841,0.050563812255840085,0.05460357666013542,0.3102912902830848,0.79530716,0.13792801,0.017169952,0.0,0.0,0.0,0.0,0.04959488,0.0026435852,0.033309937,0.072452545,0.118621826,0.08149719,0.079818726,0.1416626,0.4699936,0.016368866,0.09034729,0.031085968,0.11161804,0.4178543,0.3008995,0.0096588135,0.022167206,0
166.54931640625,87.40506362915039,1.9054881868440796,79.14425277709961,0.08323584019916994,0.6534387825506316,0.659422077852137,46.97313054436993,28.8237370857603,0.0934529888701964,63.678439631080046,11.03499189701578,21.742353161944372,9.567132460861181,17.65349014441595,0.4922190949456469,0.39839541418662294,0.5017546268665986,0.42909677494772963,0.07190704345700381,0.059524536132789796,0.04271697998045246,0.08840179443356003,0.12131118774409434,0.13744354248041632,0.078968048095673,0.049259185790996834,0.054039001464823135,0.2964286804198088,0.74749756,0.19516754,0.05247116,0.0004234314,0.0006637573,0.0010490417,0.0005645752,0.0021629333,0.015155792,0.047950745,0.067871094,0.20787811,0.13465881,0.09847641,0.1197319,0.30827713,0.067237854,0.0573349,0.042015076,0.06450653,0.087150574,0.18268585,0.38365936,0.11540985,0
147.0958366394043,70.42086791992188,2.088810331019937,76.67496871948242,0.10514564582073502,0.6524185114398401,0.5870153838512945,40.25185253987009,29.199899730285473,0.20400872461863173,50.03855200510893,3.4980659858121186,6.164471643414373,3.4303831335616297,6.931847687470586,0.6813510427067063,0.5907593989399648,0.6502512926491537,0.5729135479449899,0.044883728027326625,0.04833602905271594,0.03605270385740812,0.10150909423824253,0.14313888549799228,0.16455841064446847,0.09321594238277695,0.049949645996074696,0.04315567016599916,0.2751998901366138,0.783741,0.12646484,0.049316406,0.0016479492,3.4332275e-05,5.340576e-05,7.6293945e-06,0.038734436,0.014816284,0.11436844,0.05784607,0.07178497,0.15724945,0.4605484,0.122089386,0.0012969971,0.013465881,0.038414,0.041267395,0.073322296,0.14685059,0.31435394,0.35576248,0.016563416,0
113.6129264831543,71.99834060668945,1.5779936782987332,41.614585876464844,0.09342293439221534,0.5712503677489486,0.4501347111720665,34.92074464820756,16.305497291943446,0.16349993635914148,38.220618091124656,8.698492539139087,17.51079767617333,8.706928051614646,15.989958678160518,0.6017984493810851,0.5088955465996787,0.5968265545064567,0.5220686762169235,0.04572677612302943,0.04245376586912443,0.03947448730467244,0.11098098754878578,0.1596870422362672,0.17586517333977666,0.08858871459957558,0.04466629028318608,0.040611267089828255,0.25194549560537266,0.84064865,0.105731964,0.024944305,0.0,0.0002746582,0.00023651123,0.00024032593,0.027923584,0.007900238,0.045978546,0.3217125,0.30408096,0.1682396,0.12657928,0.024669647,0.0008392334,0.061843872,0.041534424,0.119197845,0.12917328,0.13763428,0.22790146,0.26507187,0.017642975,0
186.92015075683594,102.9606819152832,1.8154517539917814,83.95946884155273,0.07238636268661477,0.649159997172038,0.7413100747501149,53.05781791185692,29.205716476153427,0.0697342861551335,65.87138558291093,13.706633745107947,16.9743069305036,9.469892826565683,27.19996476729225,0.5102405385288824,0.444229188074266,0.535709812483884,0.4321429157471308,0.08366394042965558,0.06441497802731917,0.03914642333982882,0.07939910888668845,0.09532546997066677,0.1121330261230041,0.07498550415036202,0.05049514770505886,0.058597564697243275,0.3418388366697915,0.77610016,0.22303772,0.00064086914,0.0,0.0,0.0,0.0,0.00022125244,0.002418518,0.09737015,0.04317856,0.06292343,0.06442642,0.11785126,0.14858627,0.4632454,0.025409698,0.010852814,0.010139465,0.04380417,0.15512085,0.64842606,0.0570755,0.049171448,0
188.2244758605957,68.36354064941406,2.7532874072530973,119.86093521118164,0.03962932757374759,0.7559809375477069,0.7396176207299328,46.973132435002036,44.51964590542219,0.055162467884291924,52.389385267852944,9.139753546966851,15.014253928255364,10.39129005626236,22.156992352205148,0.57990873011641,0.4959123722814171,0.5742659145592811,0.4949297933481728,0.05860900878904014,0.059055328369118094,0.047138214111310146,0.10107803344722707,0.10965728759761442,0.13159561157221542,0.08617019653317025,0.04854583740232523,0.05134582519529291,0.30680465698230486,0.85222244,0.1476593,0.000102996826,1.5258789e-05,0.0,0.0,0.0,0.0,0.0005378723,0.019779205,0.075294495,0.05848694,0.10115051,0.12870789,0.3033905,0.3126526,0.005756378,0.010879517,0.01354599,0.035503387,0.071769714,0.15975952,0.63757324,0.06521225,0
145.70343399047852,83.04743576049805,1.7544603572737534,62.65599822998047,0.09398211745212115,0.7011710155761475,0.5832608989640778,42.452884067510006,21.605049760225178,0.0744113263231235,60.77514577206232,4.06359696061644,9.7502307359423,5.576393560420801,8.88359802543646,0.6316496574646651,0.5250085666745453,0.6004402501659488,0.5360282263737144,0.018619537353508523,0.029579162597644967,0.032932281494128066,0.13600158691401062,0.24472427368154728,0.23434066772451997,0.0876693725585603,0.03324127197264357,0.02751541137694263,0.15537643432611262,0.7168617,0.24707794,0.035999298,1.1444092e-05,2.670288e-05,1.9073486e-05,3.8146973e-06,0.0,0.030788422,0.12310028,0.09938812,0.08920288,0.12695312,0.2634468,0.2135582,0.053562164,0.014156342,0.030464172,0.023887634,0.036762238,0.106990814,0.32513046,0.39816666,0.06444168,0
148.02800750732422,128.8233642578125,1.1490773296074615,19.20464324951172,0.1404932766746016,0.6502091244056628,0.588145611332912,54.02901433013583,-1.4391177826492694,0.033610052716037266,49.3625386167722,12.013706274462043,18.05485196518113,6.814758897994197,18.402686876965326,0.5423911542879913,0.4780351657250821,0.5614696557996416,0.4580370640598861,0.03678894042967346,0.04492187499998286,0.04127883911131238,0.12297439575190622,0.18031692504875935,0.19650650024406566,0.09135437011715265,0.04235839843748384,0.03385925292967459,0.20964050292960754,0.4167061,0.5832672,2.670288e-05,0.0,0.0,0.0,0.0,0.0,0.002544403,0.047626495,0.09554672,0.16909027,0.32723236,0.15756607,0.10804367,0.092350006,0.0013122559,0.0038757324,0.126297,0.08810806,0.19027328,0.26825714,0.21133423,0.1105423,1
162.83977508544922,114.88509368896484,1.4174143025427952,47.954681396484375,0.11114527052357365,0.7033126639059287,0.6450274149576821,52.23669415598208,12.72240682594943,0.045938973800181464,46.131509470756406,2.8935871758806107,6.119741422558877,3.683479085127184,6.5211913250945,0.688628529046304,0.6043291737842967,0.6586424589715628,0.5804755949860825,0.020034790039054857,0.03065872192381643,0.03015518188475412,0.12175369262690668,0.22719192504874144,0.22673416137686664,0.09229660034176167,0.03763198852537627,0.033187866210924837,0.18035507202141557,0.7388077,0.26117706,1.5258789e-05,0.0,0.0,0.0,0.0,0.0,0.0035896301,0.02500534,0.098983765,0.0739212,0.18767548,0.29236603,0.2898407,0.028617859,0.0,0.07321167,0.04840088,0.030700684,0.072071075,0.2206726,0.43279648,0.12214661,1
128.86766052246094,93.11314392089844,1.3839900035330965,35.7545166015625,0.1134529453114384,0.5943511779378775,0.5130665498621323,42.42645229357956,11.32598719757954,0.09798411004172097,41.92028240846032,9.365306996086233,24.392404287667816,8.811647657779016,10.750089039180914,0.5733249293609813,0.484402995559759,0.580187774955173,0.5046219487410778,0.046115875244123035,0.045913696289044986,0.04444885253904554,0.12040710449214156,0.15063858032220817,0.1664428710936865,0.09120941162105896,0.04523849487302962,0.03932571411131312,0.250259399413967,0.7560768,0.16437149,0.049800873,0.02633667,2.2888184e-05,0.0,0.0,0.0033912659,0.024028778,0.048503876,0.13401794,0.24212646,0.31202316,0.20313263,0.025474548,0.010692596,0.08972168,0.030349731,0.07258606,0.10460281,0.16039658,0.20110703,0.2670822,0.0741539,1
159.7393913269043,143.09538650512695,1.1163140553769677,16.644004821777344,0.14650663115763932,0.6014746215369113,0.640067844764859,59.182842822829556,-3.204940656518762,0.03991474209048406,54.189082420581684,14.775975415851496,39.64349477828242,19.679538435665748,25.387536812435833,0.39532438177686474,0.3121069888437884,0.387706540521211,0.32761425483273776,0.08992767333980944,0.06742477416989616,0.039402008056625595,0.07571792602536175,0.09643936157222883,0.10871505737300541,0.06892776489255183,0.04696273803709146,0.060462951660133185,0.34601974487291487,0.37979507,0.61637115,0.0038261414,0.0,0.0,0.0,0.0,7.6293945e-06,0.0009460449,0.053886414,0.1222496,0.10373306,0.16888809,0.17320251,0.29572678,0.08136749,0.047512054,0.016944885,0.02483368,0.0786438,0.2831993,0.4536972,0.065093994,0.030075073,1
169.1480712890625,120.22982788085938,1.4068727713391633,48.918243408203125,0.11238778773335788,0.7268071347481558,0.67112761852788,54.29333239280912,12.045104973514256,0.04625061335069472,56.117687622878414,6.583476027397363,13.287384009711822,7.155970982142943,13.253238919887568,0.5840450978714833,0.5036982585527647,0.5825950479591205,0.4918258461975741,0.02617263793944314,0.03346252441404973,0.03200531005858154,0.12408065795893704,0.22347640991202414,0.23196792602530214,0.08858108520504433,0.03515243530272096,0.02909088134764515,0.17601013183587036,0.6931267,0.30682755,3.8146973e-05,0.0,0.0,0.0,0.0,7.6293945e-06,0.0057411194,0.026069641,0.08928299,0.12053299,0.17263412,0.23164749,0.14681244,0.2072792,0.005683899,0.0045547485,0.025363922,0.04883957,0.11686325,0.26213455,0.43571472,0.10084534,1
163.5455665588379,145.60983657836914,1.1231766362054658,17.93572998046875,0.140591590052084,0.5485099443413344,0.6501267975451899,60.25514988661188,-2.2832626254995585,0.03894018720320602,55.123355960592136,9.265835218933503,16.196472133608452,6.684438447896332,14.194170518648402,0.4815673148533455,0.4123259906471936,0.5360883881542359,0.4333277184395215,0.07931518554684475,0.06317901611325714,0.03666687011717351,0.07776641845700158,0.11985015869136054,0.11642074584956497,0.06914520263669237,0.04894256591795008,0.059719085693336595,0.328994750976437,0.40689087,0.5918541,0.0012550354,0.0,0.0,0.0,0.0,0.0,0.00060653687,0.06586075,0.090839386,0.09460831,0.15136719,0.16838455,0.35637283,0.07196045,0.021144867,0.03599167,0.043800354,0.20462799,0.45012283,0.17575073,0.02412796,0.044433594,1
163.05045318603516,126.22414779663086,1.291753249303474,36.8263053894043,0.13869330725502557,0.6842775676484579,0.6535342347388176,54.91387142788913,6.44529765201672,0.05884352144438187,64.83104004961277,14.760144019080382,28.5998253683162,10.182771985078453,19.741682974559907,0.5318252214569138,0.4217031412293341,0.5388750902419447,0.4803905036513853,0.053302764892557794,0.05520629882810394,0.04542922973631079,0.10799026489253694,0.15512466430658145,0.15936660766595484,0.0866470336913732,0.045906066894513736,0.042350769042952596,0.24867630004873326,0.65927124,0.27033615,0.070388794,3.8146973e-06,0.0,0.0,0.0,0.0,0.016254425,0.09183121,0.08111191,0.13726807,0.09827423,0.11583328,0.22454071,0.23488617,0.028656006,0.030605316,0.06698227,0.08671951,0.10393524,0.20358276,0.25033188,0.22918701,1
143.44425201416016,120.26118087768555,1.19277268731276,23.18307113647461,0.1371826960515965,0.619573321638828,0.5698709974101946,51.16386339083237,2.25107736020981,0.04447796324016223,55.21060258029487,16.63845783390419,34.49441829649831,15.447078339041342,27.356026516442633,0.5317703313244379,0.4401456301505289,0.5256305270427839,0.4529837495108902,0.062213897705054394,0.05687332153318143,0.04357147216795213,0.09899139404293099,0.126827239990186,0.1419754028319771,0.08425521850582723,0.048069000244122286,0.04689025878904461,0.2903327941893424,0.4829712,0.5164604,0.00035476685,0.0,0.0,0.0,0.0,0.00021362305,0.012908936,0.05545807,0.1944313,0.1336174,0.16039658,0.23188019,0.13005066,0.08125687,0.030227661,0.12671661,0.07247925,0.069633484,0.109478,0.16875458,0.268898,0.15381241,1
